City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,1.62,68,28,0.79,US,1707358083
1,grand falls-windsor,48.9332,-55.6649,-14.0,99,66,1.62,CA,1707358154
2,adamstown,-25.066,-130.1015,24.72,79,100,6.23,PN,1707358155
3,az zuwaytinah,30.9522,20.1202,15.45,49,60,4.34,LY,1707358155
4,tomatlan,19.9333,-105.25,21.11,92,82,1.86,MX,1707358155
5,divino das laranjeiras,-18.7778,-41.4797,22.61,97,100,1.23,BR,1707358155
6,grytviken,-54.2811,-36.5092,9.5,64,100,6.32,GS,1707358146
7,bardai,11.65,7.2333,15.61,21,3,4.41,NG,1707358155
8,edinburgh of the seven seas,-37.0676,-12.3116,17.2,67,100,2.71,SH,1707358155
9,ribeira grande,38.5167,-28.7,15.99,86,63,8.05,PT,1707358147
10,pospelikha,51.95,81.7667,-2.61,93,100,6.72,RU,1707358156
11,isla vista,34.4133,-119.861,12.94,89,100,8.23,US,1707358156
12,nikolayevsk-on-amure,53.1406,140.73,-16.01,84,99,1.59,RU,1707358156
13,college,64.8569,-147.8028,-14.96,70,75,0.0,US,1707358157
14,ratnagiri,16.9833,73.3,23.88,50,0,1.73,IN,1707358157
15,kerema,-7.9631,145.7785,28.26,71,100,0.9,PG,1707358157
16,port elizabeth,-33.918,25.5701,19.62,80,3,4.92,ZA,1707358152
17,tiksi,71.6872,128.8694,-20.59,100,100,2.34,RU,1707358157
18,mugia,43.1041,-9.2179,16.62,90,100,15.46,ES,1707358158
19,bethel,41.3712,-73.414,3.46,62,100,2.06,US,1707358158
20,greymouth,-42.4667,171.2,18.32,64,92,6.11,NZ,1707358158
21,port-aux-francais,-49.35,70.2167,4.6,76,80,13.13,TF,1707358158
22,lagunas,-5.2269,-75.6753,24.57,89,39,1.02,PE,1707358158
23,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,80,20,1.0,RU,1707358158
24,stanley,54.868,-1.6985,-1.79,95,0,0.51,GB,1707358159
25,georgetown,5.4112,100.3354,29.97,83,20,3.6,MY,1707358057
26,sorong,-0.8833,131.25,28.53,75,93,3.02,ID,1707358159
27,sivrice,38.4482,39.3084,-2.44,100,40,2.06,TR,1707358159
28,thompson,55.7435,-97.8558,-13.42,97,100,2.47,CA,1707358159
29,kavaratti,10.5669,72.642,27.79,72,99,1.86,IN,1707358147
30,port alfred,-33.5906,26.891,16.77,89,5,1.34,ZA,1707358155
31,island harbour,50.724,-1.2758,7.48,95,100,5.81,GB,1707358160
32,manadhoo,5.7667,73.3833,27.25,72,100,6.12,MV,1707358160
33,colonia,50.9333,6.95,4.77,91,75,1.03,DE,1707358089
34,sao vicente,-23.9631,-46.3919,27.1,26,9,0.45,BR,1707358161
35,pacific grove,36.6177,-121.9166,8.95,82,100,3.09,US,1707358161
36,lexington,37.9887,-84.4777,11.0,43,0,2.57,US,1707358094
37,port saint john's,-31.6229,29.5448,20.35,80,12,2.39,ZA,1707358161
38,labrador city,52.9463,-66.9114,-8.23,97,100,2.06,CA,1707357610
39,saipan,15.1355,145.701,29.39,54,20,7.2,MP,1707358161
40,timbuktu,16.7735,-3.0074,19.69,12,85,4.57,ML,1707358162
41,puerto natales,-51.7236,-72.4875,8.56,83,93,6.15,CL,1707358162
42,sandnessjoen,66.0217,12.6316,-5.71,56,98,2.94,NO,1707358162
43,pitrufquen,-38.9833,-72.65,14.01,82,0,1.03,CL,1707358162
44,iqaluit,63.7506,-68.5145,-20.15,59,20,5.66,CA,1707358117
45,bredasdorp,-34.5322,20.0403,18.09,79,52,2.68,ZA,1707358163
46,bijie,27.3125,105.2942,0.22,94,100,1.88,CN,1707358163
47,nar'yan-mar,67.6713,53.087,-17.16,96,100,5.81,RU,1707358163
48,necochea,-38.5473,-58.7368,20.64,91,65,5.36,AR,1707358163
49,qrendi,35.8347,14.4583,13.81,82,20,7.2,MT,1707358163
50,brookings,44.3114,-96.7984,9.0,83,75,8.75,US,1707358164
51,huarmey,-10.0681,-78.1522,25.09,81,56,3.43,PE,1707358164
52,doullens,50.1572,2.3402,7.68,95,100,1.34,FR,1707358164
53,enewetak,11.3474,162.3373,26.63,81,100,8.84,MH,1707358164
54,chos malal,-37.3781,-70.2709,24.74,27,100,2.22,AR,1707358164
55,ushuaia,-54.8,-68.3,8.79,66,75,1.54,AR,1707358164
56,whitehorse,60.7161,-135.0538,-15.11,74,81,1.53,CA,1707358165
57,nemuro,43.3236,145.575,-3.42,75,77,3.45,JP,1707358165
58,hawaiian paradise park,19.5933,-154.9731,24.73,74,75,3.09,US,1707358165
