City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port blair,11.6667,92.75,27.26,62,35,3.26,IN,1707362773
1,hermanus,-34.4187,19.2345,17.67,80,78,3.76,ZA,1707362773
2,codrington,-38.2667,141.9667,19.92,52,0,6.34,AU,1707362773
3,port-aux-francais,-49.35,70.2167,4.38,71,80,12.36,TF,1707362774
4,katsuura,35.1333,140.3,9.04,69,85,4.17,JP,1707362774
5,bekasi,-6.2349,106.9896,31.93,62,20,2.57,ID,1707362774
6,quepos,9.4236,-84.1652,25.31,74,71,2.37,CR,1707362605
7,visby,57.6409,18.296,-3.88,93,100,1.03,SE,1707362774
8,adamstown,-25.066,-130.1015,24.2,75,100,5.52,PN,1707362774
9,papatowai,-46.5619,169.4708,14.38,68,24,8.68,NZ,1707362775
10,ust-nera,64.5667,143.2,-26.2,96,100,1.03,RU,1707362775
11,blackmans bay,-43.0167,147.3167,24.74,55,0,0.45,AU,1707362775
12,sao tome,0.3365,6.7273,27.23,81,86,3.54,ST,1707362775
13,sorong,-0.8833,131.25,28.7,74,95,3.22,ID,1707362775
14,la passe,45.5549,-0.8967,11.66,89,100,5.22,FR,1707362775
15,ngama,11.7833,17.1667,17.38,22,5,3.95,TD,1707362776
16,sparti,37.0733,22.4297,11.64,71,88,1.59,GR,1707362776
17,minas de marcona,-15.2119,-75.1103,19.61,93,100,3.33,PE,1707362776
18,zhanaozen,43.3,52.8,4.93,93,73,4.8,KZ,1707362776
19,tiksi,71.6872,128.8694,-20.67,99,100,2.29,RU,1707362776
20,gourdon,44.75,1.5,9.38,96,100,1.88,FR,1707362777
21,olonkinbyen,70.9221,-8.7187,-2.83,56,91,5.75,SJ,1707362777
22,saipan,15.1355,145.701,29.39,54,0,7.2,MP,1707362777
23,laojunmiao,39.8333,97.7333,-4.28,39,58,3.31,CN,1707362777
24,port lincoln,-34.7333,135.8667,20.26,60,5,5.31,AU,1707362777
25,lautoka,-17.6167,177.4667,27.92,78,75,2.06,FJ,1707362778
26,ushuaia,-54.8,-68.3,7.81,76,75,3.6,AR,1707362778
27,freeport,40.6576,-73.5832,6.2,79,0,2.06,US,1707362778
28,acarau,-2.8856,-40.12,26.94,83,16,5.67,BR,1707362778
29,broken hill,-31.95,141.4333,29.83,25,44,7.06,AU,1707362778
30,linxia chengguanzhen,35.6003,103.2064,-2.33,66,13,0.63,CN,1707362779
31,zaozersk,69.4005,32.4476,-24.35,99,66,2.17,RU,1707362779
32,waitangi,-43.9535,-176.5597,19.34,85,100,2.33,NZ,1707362779
33,jinchang,38.4953,102.1739,-3.06,46,7,1.61,CN,1707362779
34,edinburgh of the seven seas,-37.0676,-12.3116,17.13,67,100,2.88,SH,1707362721
35,grytviken,-54.2811,-36.5092,9.36,64,100,5.27,GS,1707362780
36,port elizabeth,-33.918,25.5701,20.16,78,0,5.14,ZA,1707362544
